0.749310,0.076712,0.056789,0.330479
0.056789,0.330479,0.050000,1.038356
0.050000,1.038356,0.756099,1.459075
0.756099,1.459075,1.380725,1.004966
1.380725,1.004966,1.665880,0.691096
1.665880,0.691096,2.107192,0.751199
2.107192,0.751199,2.093613,0.944863
2.093613,0.944863,1.652302,1.145206
1.652302,1.145206,0.606732,1.686130
0.606732,1.686130,0.090736,1.866438
0.090736,1.866438,0.056789,2.848117
0.056789,2.848117,0.661047,3.769692
0.661047,3.769692,2.453452,3.308904
2.453452,3.308904,2.378769,2.407363
2.378769,2.407363,1.788090,1.746233
1.788090,1.746233,2.141139,1.365582
2.141139,1.365582,2.718239,1.278767
2.718239,1.278767,2.528136,3.736301
2.528136,3.736301,4.225489,3.950000
4.225489,3.950000,5.950000,3.141952
5.950000,3.141952,5.692002,2.013356
5.692002,2.013356,4.700748,1.058390
4.700748,1.058390,3.173130,1.692808
3.173130,1.692808,3.193498,1.038356
3.193498,1.038356,3.200288,0.410616
3.200288,0.410616,2.596030,0.050000
2.596030,0.050000,0.749310,0.076712
